,brand,capacity,types,speed ,color,rating,price,warranty
0,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
1,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
2,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
3,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
4,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
5,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
6,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
7,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
8,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
9,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
10,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
11,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
12,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
13,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
14,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
15,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
16,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
17,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
18,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
19,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
20,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
21,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
22,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
23,SAMSUNG,8 Kg,Front Load,1300,Grey,4.4,"11,490",3
24,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
25,realme,7 kg,Front Load,1400,Not Specified,4.2,"7,690",2
26,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
27,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
28,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
29,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
30,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
31,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
32,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
33,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
34,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
35,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
36,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
37,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
38,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
39,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
40,SAMSUNG,5 kg,Front Load,1350,Grey,4.4,"9,690",3
41,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
42,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
43,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
44,realme,5 kg,Front Load,1400,Grey,4.2,"9,690",2
45,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
46,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
47,SAMSUNG,8 Kg,Front Load,1300,Grey,4.4,"11,490",3
48,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
49,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
50,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
51,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
52,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
53,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
54,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
55,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
56,SAMSUNG,7 kg,Front Load,700,Grey,4.3,"17,990",3
57,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
58,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
59,Thomson,5 kg,Front Load,1400,Not Specified,4.1,"7,999",2
60,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
61,SAMSUNG,8 kg,Front Load,700,Grey,4.3,"19,990",3
62,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
63,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
64,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
65,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
66,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
67,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
68,realme,5 kg,Top Load,1400,Grey,4.2,"9,690",2
69,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
70,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
71,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
72,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
73,realme,7 kg,Front Load,1400,Not Specified,4.2,"7,690",2
74,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
75,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
76,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
77,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
78,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
79,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
80,SAMSUNG,7 kg,Top Load,700,Grey,4.3,"17,990",3
81,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
82,MarQ,6 kg,Front Load,1350,Not Specified,4.2,"6,790",2
83,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
84,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
85,SAMSUNG,8 kg,Top Load,700,Grey,4.3,"19,990",3
86,Haier,8 kg,Unknown,800,Not Specified,4.3,"16,990",2
87,Haier,8 kg,Unknown,800,Not Specified,4.3,"17,490",2
88,SAMSUNG,5 kg,Top Load,1350,Grey,4.4,"9,690",3
89,Haier,7 kg,Unknown,13001300,Not Specified,4.3,"8,990",2
90,IFB,7 kg,Unknown,1200,Not Specified,4.3,"28,590",4
91,IFB,8 kg,Unknown,1200,Not Specified,4.3,"33,990",4
92,realme,5 kg,Front Load,1400,Grey,4.2,"9,690",2
93,LG,7 kg,Top Load,1350,Not Specified,4.4,"11,490",2
94,IFB,8 kg,Unknown,1200,Not Specified,4.3,"32,990",4
95,SAMSUNG,8 Kg,Top Load,1300,Grey,4.4,"11,490",3
96,Haier,5 kg,Unknown,800,Not Specified,4.3,"12,790",2
97,realme,7 kg,Top Load,1400,Not Specified,4.2,"7,690",2
98,LG,5 kg,Unknown,1300,Not Specified,4.5,"14,490",2
99,LG,7 kg,Unknown,740,Not Specified,4.3,"17,990",2
100,IFB,6 kg,Unknown,1000,Not Specified,4.3000000000000185,"24,990",4
101,IFB,7 kg,Front Load,1000,Not Specified,4.3,"27,990",4
102,Haier,7 kg,Unknown,800,Not Specified,4.3,"14,190",2
103,realme,5 kg,Top Load,1400,Grey,4.2,"7,990",2
104,SAMSUNG,7 kg,Front Load,700,Grey,4.3,"17,990",3
105,IFB,7 kg,Unknown,720,Not Specified,4.3,"18,390",4
106,MarQ,6 kg,Top Load,1350,Not Specified,4.2,"6,790",2
107,Thomson,5 kg,Top Load,1400,Not Specified,4.1,"7,999",2
108,Whirlpool,5 kg,Unknown,1400,Not Specified,4.4,"13,290",4
